Epoch,distance,VAL,FAR
50,0.2,0.12489795918367347,0.0
50,0.7,0.40816326530612246,0.0028
50,1.2,0.5322448979591837,0.3508
50,1.7,0.6930612244897959,0.5444
51,0.2,0.12,0.0
51,0.7,0.42857142857142855,0.0024
51,1.2,0.7444897959183674,0.298
51,1.7,0.9812244897959184,0.5212
52,0.2,0.2,0.0
52,0.7,0.4146938775510204,0.028
52,1.2,0.7175510204081633,0.52
52,1.7,0.9926530612244898,0.7692
53,0.2,0.13387755102040816,0.0
53,0.7,0.48244897959183675,0.1848
53,1.2,0.8734693877551021,0.5432
53,1.7,0.9991836734693877,0.976
54,0.2,0.07020408163265306,0.0
54,0.7,0.41551020408163264,0.0084
54,1.2,0.6465306122448979,0.2428
54,1.7,0.9159183673469388,0.5556
55,0.2,0.08897959183673469,0.0
55,0.7,0.446530612244898,0.0
55,1.2,0.7991836734693878,0.196
55,1.7,0.9583673469387755,0.6128
56,0.2,0.09224489795918367,0.0
56,0.7,0.3053061224489796,0.0
56,1.2,0.6914285714285714,0.2424
56,1.7,0.9183673469387755,0.608
57,0.2,0.08653061224489796,0.0
57,0.7,0.4620408163265306,0.0
57,1.2,0.8261224489795919,0.02
57,1.7,0.9477551020408164,0.1884
58,0.2,0.11510204081632654,0.0
58,0.7,0.3689795918367347,0.0044
58,1.2,0.5828571428571429,0.1424
58,1.7,0.8906122448979592,0.5272
59,0.2,0.11020408163265306,0.0
59,0.7,0.40244897959183673,0.0
59,1.2,0.6955102040816327,0.0044
59,1.7,0.9477551020408164,0.2012
60,0.2,0.13142857142857142,0.0
60,0.7,0.5591836734693878,0.0
60,1.2,0.9085714285714286,0.0156
60,1.7,0.9787755102040816,0.06
61,0.2,0.17142857142857143,0.0
61,0.7,0.4269387755102041,0.1036
61,1.2,0.6702040816326531,0.4776
61,1.7,0.9616326530612245,0.5596
62,0.2,0.1126530612244898,0.0
62,0.7,0.5183673469387755,0.0
62,1.2,0.8702040816326531,0.0228
62,1.7,0.9844897959183674,0.4096
63,0.2,0.12571428571428572,0.0
63,0.7,0.5379591836734694,0.0
63,1.2,0.8710204081632653,0.0188
63,1.7,0.9591836734693877,0.0904
64,0.2,0.14204081632653062,0.0
64,0.7,0.44571428571428573,0.0
64,1.2,0.7575510204081632,0.1108
64,1.7,0.9363265306122449,0.5412
65,0.2,0.13795918367346938,0.0
65,0.7,0.6342857142857142,0.0
65,1.2,0.9044897959183673,0.0016
65,1.7,0.9591836734693877,0.2548
66,0.2,0.12326530612244897,0.0
66,0.7,0.29551020408163264,0.0008
66,1.2,0.4906122448979592,0.2532
66,1.7,0.7379591836734694,0.4632
67,0.2,0.0636734693877551,0.0
67,0.7,0.35346938775510206,0.0
67,1.2,0.6783673469387755,0.0
67,1.7,0.893061224489796,0.0008
68,0.2,0.08408163265306122,0.0
68,0.7,0.5689795918367347,0.0072
68,1.2,0.8718367346938776,0.0256
68,1.7,0.9551020408163265,0.0676
69,0.2,0.17469387755102042,0.0
69,0.7,0.6661224489795918,0.0
69,1.2,0.9877551020408163,0.0
69,1.7,1.0,0.03
70,0.2,0.11428571428571428,0.0
70,0.7,0.39183673469387753,0.0
70,1.2,0.6114285714285714,0.242
70,1.7,0.8220408163265306,0.5596
71,0.2,0.1983673469387755,0.0
71,0.7,0.9306122448979591,0.0
71,1.2,1.0,0.0132
71,1.7,1.0,0.1804
72,0.2,0.17061224489795918,0.0
72,0.7,0.44326530612244897,0.0604
72,1.2,0.5730612244897959,0.5584
72,1.7,0.9208163265306123,0.6124
73,0.2,0.08897959183673469,0.0
73,0.7,0.5714285714285714,0.0548
73,1.2,0.9469387755102041,0.4932
73,1.7,1.0,0.828
74,0.2,0.14122448979591837,0.0
74,0.7,0.35591836734693877,0.362
74,1.2,0.47183673469387755,0.5204
74,1.7,0.5118367346938776,0.5484
