Epoch,distance,VAL,FAR
50,0.2,0.11591836734693878,0.0
50,0.7,0.7648979591836734,0.0
50,1.2,0.9779591836734693,0.0016
50,1.7,0.9975510204081632,0.0744
51,0.2,0.15428571428571428,0.0
51,0.7,0.5591836734693878,0.0032
51,1.2,0.96,0.02
51,1.7,0.96,0.02
52,0.2,0.12897959183673469,0.0
52,0.7,0.8138775510204082,0.0
52,1.2,0.9861224489795918,0.0088
52,1.7,1.0,0.0936
53,0.2,0.1657142857142857,0.0
53,0.7,0.756734693877551,0.0
53,1.2,0.9730612244897959,0.0276
53,1.7,1.0,0.1816
54,0.2,0.08979591836734693,0.0
54,0.7,0.5697959183673469,0.0
54,1.2,0.8946938775510204,0.0008
54,1.7,0.9877551020408163,0.0544
55,0.2,0.1836734693877551,0.0
55,0.7,0.7648979591836734,0.0092
55,1.2,0.9583673469387755,0.0344
55,1.7,0.9771428571428571,0.172
56,0.2,0.14285714285714285,0.0
56,0.7,0.6979591836734694,0.0224
56,1.2,0.9885714285714285,0.1624
56,1.7,1.0,0.6512
57,0.2,0.08081632653061224,0.0
57,0.7,0.6171428571428571,0.0
57,1.2,0.9469387755102041,0.0024
57,1.7,0.996734693877551,0.0948
58,0.2,0.12489795918367347,0.0
58,0.7,0.5583673469387755,0.0
58,1.2,0.8987755102040816,0.0272
58,1.7,1.0,0.4112
59,0.2,0.07673469387755102,0.0
59,0.7,0.4269387755102041,0.0
59,1.2,0.7518367346938776,0.0092
59,1.7,0.9453061224489796,0.1776
60,0.2,0.1469387755102041,0.0
60,0.7,0.6995918367346938,0.0
60,1.2,0.96,0.0
60,1.7,0.996734693877551,0.02
61,0.2,0.14122448979591837,0.0
61,0.7,0.6922448979591836,0.0
61,1.2,0.9608163265306122,0.0
61,1.7,0.9959183673469387,0.0032
62,0.2,0.08163265306122448,0.0
62,0.7,0.4163265306122449,0.0
62,1.2,0.6457142857142857,0.0612
62,1.7,0.8685714285714285,0.3828
63,0.2,0.12653061224489795,0.0
63,0.7,0.4897959183673469,0.0984
63,1.2,0.7559183673469387,0.4196
63,1.7,0.9657142857142857,0.6484
64,0.2,0.11020408163265306,0.0
64,0.7,0.4620408163265306,0.0144
64,1.2,0.7828571428571428,0.1124
64,1.7,0.9567346938775511,0.3176
65,0.2,0.09551020408163265,0.0
65,0.7,0.4742857142857143,0.0144
65,1.2,0.8326530612244898,0.2132
65,1.7,0.9689795918367347,0.628
66,0.2,0.11183673469387755,0.0
66,0.7,0.8383673469387755,0.0092
66,1.2,1.0,0.0972
66,1.7,1.0,0.4772
67,0.2,0.08489795918367347,0.0
67,0.7,0.5159183673469387,0.0076
67,1.2,0.9322448979591836,0.1076
67,1.7,0.9959183673469387,0.2344
68,0.2,0.06693877551020408,0.0
68,0.7,0.38612244897959186,0.0036
68,1.2,0.7053061224489796,0.1084
68,1.7,0.8848979591836734,0.4132
69,0.2,0.11428571428571428,0.0
69,0.7,0.6481632653061224,0.0056
69,1.2,0.9526530612244898,0.0668
69,1.7,0.9975510204081632,0.16
70,0.2,0.07591836734693877,0.0
70,0.7,0.4236734693877551,0.0176
70,1.2,0.7763265306122449,0.1984
70,1.7,0.9379591836734694,0.5528
71,0.2,0.08734693877551021,0.0
71,0.7,0.3575510204081633,0.0
71,1.2,0.8555102040816327,0.0492
71,1.7,0.9624489795918367,0.1184
72,0.2,0.12653061224489795,0.0
72,0.7,0.6481632653061224,0.0396
72,1.2,0.9771428571428571,0.1104
72,1.7,1.0,0.2248
73,0.2,0.08897959183673469,0.0
73,0.7,0.44979591836734695,0.002
73,1.2,0.7289795918367347,0.046
73,1.7,0.9640816326530612,0.1388
74,0.2,0.11346938775510204,0.0
74,0.7,0.6122448979591837,0.0024
74,1.2,0.9151020408163265,0.0248
74,1.7,0.9877551020408163,0.1452
